theta_1,theta_2,theta_3,theta_4
0,48,84,12
50,72,84,60
30,72,108,12
15,96,60,0
85,96,72,0
120,84,12,0
105,48,72,60
35,60,12,0
40,96,84,60
55,120,36,36
85,120,12,120
90,108,108,12
20,72,72,0
70,24,36,0
35,60,84,60
5,36,24,12
40,108,24,72
45,96,36,12
0,24,84,60
110,72,84,36
20,96,96,12
25,48,48,0
85,48,48,0
75,120,108,12
65,84,108,0
10,120,72,108
50,96,108,12
85,120,120,12
95,120,0,48
100,12,60,48
20,120,120,12
30,120,108,48
95,120,96,12
65,84,0,120
15,84,12,0
115,120,24,60
110,24,24,12
20,72,60,12
10,72,72,36
5,84,84,0
80,120,12,36
90,108,60,12
5,120,24,60
25,72,84,48
20,120,36,120
25,96,120,0
115,96,12,72
75,120,0,48
80,84,84,48
60,72,72,48
25,84,36,0
100,108,84,48
30,96,120,108
5,108,12,60
15,72,84,36
20,120,24,120
70,60,84,60
10,96,48,12
70,72,120,12
10,84,36,0
90,72,96,12
105,84,24,12
10,24,72,60
15,120,60,96
110,120,36,96
60,24,48,0
40,120,12,72
80,96,72,0
55,12,60,48
115,120,12,120
20,120,120,72
5,72,12,0
15,48,48,0
95,108,96,60
75,60,60,0
100,72,24,0
10,84,60,0
85,72,60,12
25,72,72,12
35,96,96,12
60,96,96,36
0,72,60,0
100,120,108,0
60,84,96,36
10,120,0,120
55,96,84,36
110,120,0,120
80,96,12,72
95,120,48,84
20,48,36,12
60,84,72,12
30,120,48,120
40,84,60,0
15,96,72,12
50,120,12,96
0,108,12,120
55,120,96,12
120,48,84,60
15,48,48,12
35,120,60,84
70,120,48,60
120,120,0,96
75,36,72,36
25,96,72,12
110,96,96,12
30,108,36,72
45,48,12,0
85,108,96,12
110,36,84,36
50,96,120,0
95,48,72,36
80,60,72,48
10,24,48,12
120,84,60,0
75,120,12,12
30,48,48,12
95,60,48,12
55,108,84,0
10,120,24,0
85,120,24,120
70,120,108,12
50,72,96,12
35,36,60,12
25,84,36,12
90,120,0,96
60,96,36,0
35,108,108,12
85,36,72,36
120,72,72,60
60,108,12,72
0,120,108,48
40,36,36,12
100,24,84,60
45,120,12,84
40,108,60,0
50,96,108,0
35,48,60,0
115,120,12,48
70,96,60,12
20,48,96,60
50,60,84,0
70,24,72,48
110,120,0,60
55,72,120,12
55,36,72,60
30,120,36,36
65,108,36,96
45,48,96,60
0,72,120,120
115,48,24,12
65,120,48,108
105,60,96,36
110,84,36,0
30,96,0,120
80,48,36,0
105,120,48,120
60,60,24,12
80,108,12,84
0,72,60,12
35,96,96,60
120,108,108,12
105,48,24,12
120,120,48,72
75,48,48,12
120,120,24,12
25,72,108,12
110,48,24,0
70,72,108,12
60,120,72,120
70,12,12,0
20,108,24,72
0,72,84,0
80,84,96,0
55,84,96,0
30,120,0,120
50,60,48,12
30,24,48,12
75,60,48,12
70,48,60,12
110,96,12,84
40,48,84,48
25,60,72,48
120,120,108,0
5,96,108,0
95,48,72,0
65,84,48,0
80,48,84,0
80,36,36,12
40,108,36,72
110,72,48,0
5,36,72,12
120,60,72,48
25,96,72,48
75,60,96,60
45,120,12,96
5,36,84,60
70,120,120,72
