mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_activation,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
14.879539728164673,2.942643165588379,0.014267206192016602,0.00035381317138671875,"(270, 330)",tanh,"{'hidden_layer_sizes': (270, 330), 'activation': 'tanh'}",-0.012586836864133972,-0.018911606093728522,-0.015749221478931246,0.0031623846147972754,1138,-0.011807629860117002,-0.017710337413593725,-0.014758983636855363,0.0029513537767383614
18.490055918693542,0.4550067186355591,0.00901651382446289,0.0004868507385253906,"(290, 250)",tanh,"{'hidden_layer_sizes': (290, 250), 'activation': 'tanh'}",-0.008717630192650755,-0.010510028225406191,-0.009613829209028472,0.0008961990163777181,779,-0.008416872509530902,-0.009084996355183828,-0.008750934432357365,0.0003340619228264629
4.684256196022034,0.03928506374359131,0.001971006393432617,3.743171691894531e-05,"(400,)",relu,"{'hidden_layer_sizes': (400,), 'activation': 'relu'}",-0.011226071055393663,-0.014832644406839192,-0.013029357731116426,0.0018032866757227645,1096,-0.010258621275981698,-0.013320207942182069,-0.011789414609081884,0.0015307933331001854
7.487680792808533,0.24893295764923096,0.00503087043762207,6.914138793945312e-05,"(150, 300, 150)",relu,"{'hidden_layer_sizes': (150, 300, 150), 'activation': 'relu'}",-0.006400506224919286,-0.007160706037958042,-0.0067806061314386636,0.00038009990651937834,397,-0.005776869243549752,-0.006164693007010899,-0.005970781125280326,0.0001939118817305737
3.4918336868286133,0.36594057083129883,0.001528024673461914,0.0004699230194091797,"(150, 170)",relu,"{'hidden_layer_sizes': (150, 170), 'activation': 'relu'}",-0.0065545453062115745,-0.008727015740637604,-0.00764078052342459,0.001086235217213015,511,-0.006264207782745383,-0.007350260034023117,-0.00680723390838425,0.0005430261256388668
10.316418409347534,1.7733731269836426,0.008116841316223145,0.00405275821685791,"(270, 140)",tanh,"{'hidden_layer_sizes': (270, 140), 'activation': 'tanh'}",-0.012803594389968285,-0.011213900501158565,-0.012008747445563425,0.00079484694440486,1047,-0.01172010301979511,-0.010387090712621108,-0.01105359686620811,0.0006665061535870015
60.08085036277771,54.242642641067505,0.08991420269012451,0.007077336311340332,"(2975,)",tanh,"{'hidden_layer_sizes': (2975,), 'activation': 'tanh'}",-0.05594904735408385,-0.4512160041161421,-0.253582525735113,0.19763347838102913,1245,-0.05342747374238948,-0.46549240933892033,-0.2594599415406549,0.20603246779826542
17.233699679374695,3.4145184755325317,0.00917363166809082,0.0028433799743652344,"(200, 175, 275)",tanh,"{'hidden_layer_sizes': (200, 175, 275), 'activation': 'tanh'}",-0.011681096664729286,-0.00828207828974885,-0.009981587477239068,0.0016995091874902179,835,-0.011182327364153538,-0.007520913562137275,-0.009351620463145405,0.0018307069010081315
23.632314324378967,3.198660731315613,0.03776693344116211,0.00405120849609375,"(300, 250, 300, 300)",tanh,"{'hidden_layer_sizes': (300, 250, 300, 300), 'activation': 'tanh'}",-0.008062937692080253,-0.0072364647038255115,-0.0076497011979528825,0.00041323649412737095,514,-0.0072086538745636695,-0.0059912829507766194,-0.006599968412670144,0.000608685461893525
8.642807602882385,0.3405197858810425,0.004715085029602051,0.0003870725631713867,"(250, 275, 125)",relu,"{'hidden_layer_sizes': (250, 275, 125), 'activation': 'relu'}",-0.005695715292325364,-0.005365677819396294,-0.0055306965558608295,0.00016501873646453504,191,-0.004867314026711789,-0.004226361055467282,-0.004546837541089536,0.00032047648562225344
5.505000114440918,0.3525266647338867,0.049078941345214844,0.03202486038208008,"(2460,)",tanh,"{'hidden_layer_sizes': (2460,), 'activation': 'tanh'}",-0.4646719422562563,-0.45516095193850165,-0.459916447097379,0.0047554951588773264,1285,-0.46185110557447345,-0.4662527173160692,-0.46405191144527136,0.0022008058707978784
